,NN,IN,CLOSE,OPEN
2_34,0.9584,0.9831,0.8884,0.8125
2_35,0.9571,0.9832,0.8887,0.8183
2_36,0.9571,0.9832,0.8913,0.8136
2_37,0.9576,0.9837,0.889,0.8136
2_38,0.9579,0.9827,0.8914,0.8157
2_39,0.9581,0.983,0.8928,0.8136
3_0,0.9583,0.9834,0.8917,0.8149
3_1,0.9585,0.9832,0.8881,0.8139
3_2,0.9575,0.9835,0.8949,0.813
3_3,0.9572,0.9828,0.8903,0.8147
3_4,0.9585,0.983,0.8932,0.8179
3_5,0.9577,0.9833,0.8941,0.8175
3_6,0.9579,0.9839,0.8928,0.814
3_7,0.9588,0.9833,0.8916,0.8131
3_8,0.9579,0.9833,0.8926,0.8188
3_9,0.9578,0.9829,0.8923,0.8172
3_10,0.959,0.9834,0.8919,0.8173
3_11,0.9592,0.9832,0.8913,0.8171
3_12,0.9593,0.983,0.8934,0.8172
3_13,0.9582,0.9836,0.8899,0.8134
3_14,0.9591,0.9834,0.893,0.8176
3_15,0.9586,0.984,0.8919,0.8173
3_16,0.9595,0.9839,0.8932,0.8167
3_17,0.9587,0.9836,0.8945,0.8181
3_18,0.9593,0.9836,0.896,0.8185
3_19,0.9589,0.9833,0.8981,0.816
3_20,0.9594,0.9844,0.8941,0.8191
3_21,0.959,0.9837,0.889,0.816
3_22,0.9594,0.984,0.8899,0.8178
3_23,0.9583,0.9835,0.8928,0.8179
3_24,0.9595,0.984,0.8928,0.8193
3_25,0.9598,0.9842,0.8961,0.8184
3_26,0.9597,0.9841,0.8916,0.8176
3_27,0.9598,0.9834,0.9095,0.8201
3_28,0.9599,0.9841,0.9015,0.817
3_29,0.9595,0.9848,0.8907,0.819
3_30,0.9601,0.9838,0.8944,0.8215
3_31,0.9604,0.9844,0.9003,0.8205
3_32,0.96,0.9841,0.8953,0.8187
3_33,0.9599,0.984,0.8957,0.8235
3_34,0.9604,0.984,0.8977,0.8216
3_35,0.9601,0.9842,0.895,0.8237
3_36,0.9601,0.9845,0.893,0.8206
3_37,0.96,0.9845,0.8988,0.8221
3_38,0.9606,0.9841,0.9038,0.8212
3_39,0.9596,0.9845,0.8992,0.8222
4_0,0.9613,0.9845,0.8957,0.8208
4_1,0.961,0.9843,0.8984,0.8227
4_2,0.9602,0.9842,0.9023,0.8208
4_3,0.9602,0.984,0.8962,0.8228
4_4,0.9608,0.9842,0.9088,0.827
4_5,0.9612,0.9848,0.9007,0.8257
4_6,0.9597,0.9848,0.8951,0.8214
4_7,0.9609,0.9842,0.9022,0.822
4_8,0.9606,0.9848,0.9,0.8239
4_9,0.9606,0.9841,0.9016,0.8239
4_10,0.961,0.9843,0.905,0.8271
4_11,0.9613,0.9843,0.8938,0.8301
4_12,0.9607,0.9846,0.9094,0.8225
4_13,0.9603,0.9845,0.9035,0.8265
4_14,0.9617,0.9847,0.9098,0.827
4_15,0.9608,0.9845,0.9174,0.8244
4_16,0.9617,0.9845,0.906,0.8264
4_17,0.9616,0.9847,0.9052,0.8214
4_18,0.9615,0.9843,0.8985,0.8294
4_19,0.9612,0.9845,0.9079,0.8309
4_20,0.9622,0.9847,0.8997,0.8278
4_21,0.9611,0.9851,0.9081,0.8285
4_22,0.9612,0.9844,0.9081,0.8252
4_23,0.9617,0.9847,0.9097,0.8271
4_24,0.9615,0.9847,0.907,0.8298
4_25,0.961,0.9846,0.9089,0.8322
4_26,0.9615,0.9848,0.903,0.8282
4_27,0.962,0.9843,0.91,0.8277
4_28,0.9612,0.9849,0.9075,0.8284
4_29,0.9614,0.9855,0.9161,0.8331
4_30,0.9625,0.9844,0.9183,0.8296
4_31,0.9616,0.985,0.911,0.8316
4_32,0.9623,0.9854,0.9092,0.8252
4_33,0.9625,0.9849,0.9066,0.8311
4_34,0.9628,0.9851,0.9061,0.829
4_35,0.9617,0.9853,0.9063,0.8428
